,human,mouse,zebrafish,c.elegans,drosophila,ciliate,yeast,methanocaldococcus,thermococcus,e.coli,tuberculosis
H2A,0.0,0.0,0.0,2.71e-45,1.23e-43,3.44e-46,1.07e-45,1.2,1.71e-07,1.18e-21,5.29e-09
H2B,2.81e-88,1.01e-87,3.05e-83,2.78e-65,5.43e-60,6.56e-51,3.85e-60,1.7,1.2,1.6,1.7
H3,2.19e-96,1.54e-96,1.77e-95,4.46e-94,9.39e-96,8.41e-86,3.31e-87,0.034,0.057,0.90,4.6
H4,1.09e-67,7.60e-68,1.13e-68,6.15e-68,8.02e-68,1.96e-45,1.08e-52,8.22e-05,3.31e-05,1.3,0.069
SMARCA4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.067,0.004,1.29e-53
